Screenshot,TextBox,Subtitle,BaseLanguage,BaseText,TranslationLanguage,TranslationText
1,1,0,en-US,"<b>Know exactly what to say</b>",en-US,"<b>Know exactly what to say</b>"
1,1,0,en-US,"<b>Know exactly what to say</b>",de,"<b>Know exactly what to say</b>"
1,1,0,en-US,"<b>Know exactly what to say</b>",es,"<b>Know exactly what to say</b>"
1,1,0,en-US,"<b>Know exactly what to say</b>",ru,"<b>Know exactly what to say</b>"
1,1,0,en-US,"<b>Know exactly what to say</b>",ja,"<b>Know exactly what to say</b>"
1,2,0,en-US,"<span style=""background-color:#807fd2ff"">I'd like a coffee</span>",de,"<span style=""background-color:#807fd2ff"">I'd like a coffee</span>"
2,1,0,en-US,"<b>Build real English phrases</b>",en-US,"<b>Build real English phrases</b>"
2,1,0,en-US,"<b>Build real English phrases</b>",de,"<b>Build real English phrases</b>"
2,1,0,en-US,"<b>Build real English phrases</b>",es,"<b>Build real English phrases</b>"
2,1,0,en-US,"<b>Build real English phrases</b>",ru,"<b>Build real English phrases</b>"
2,1,0,en-US,"<b>Build real English phrases</b>",ja,"<b>Build real English phrases</b>"
